aseqno	info
A090950	a(n)=(1/24)*(n+1)*(n+3)*(n^2+22*n+88)
A091347	a(n)=6*4^n-12*3^n+7*2^n-1
A091348	a(n)=24*5^n-60*4^n+50*3^n-15*2^n+1
A091363	a(n)=n!*n^3
A091364	a(n)=n!*n^4
A091433	a(n)=2*3^n-18*4^n+24*5^n
A091482	a(n)=(3*n)^n
A091483	a(n)=(4*n)^n
A091868	a(n)=(n!)^(n+1)
A092327	a(n)=(1/12)*(n+1)*(n^3+19*n^2+118*n+228)
A092956	a(n)=(2*n+2)!/((n+2)*n!)
A093460	a(n)=2n^(n-1)-1
A094201	a(n)=4*n^5+10*n^4+13*n^3+11*n^2+5*n+1
A094647	a(n)=n^(2n)-(2n)^n
A097547	a(n)=n^(2^n)
A097629	a(n)=2*(2n)^(n-2)
A097801	a(n)=(2*n)!/(n!*2^(n-1))
A098430	a(n)=4^n*(2*n)!/(n!)^2
A098658	a(n)=3^n*(2*n)!/(n!)^2
A098713	a(n)=(2n+1)*2^(2n+1)-1
A098809	a(n)=2^(n+23)-23
A098880	a(n)=11^n*n^11
A098939	a(n)=(2^n-1)^11-2
A098940	a(n)=(2^n-1)^7-2
A099213	a(n)=a(n-1)+a(n-2)+3a(n-3)
A099360	a(n)=(2^n+1)^4-2
A100043	a(n)=(3*n-1)!
A100109	a(n)=n^3-2*n^2+2
A100207	a(n)=4+8*n+10*n^2+4*n^3
A100732	a(n)=(3*n)!
A100733	a(n)=(4*n)!
A100734	a(n)=(5*n)!
A101334	a(n)=n^n-(n+1)^(n-1)
A101407	a(n)=4^(n!)
A101485	a(n)=(4n)!/(4^n*(2n)!)
A101945	a(n)=6*2^n-n-5
A103743	a(n)=2^(2^n-1)-2^n-1
A106734	a(n)=n^3-7*n+7
A107382	a(n)=4*a(n-1)-4*a(n-3)-a(n-4)
A107583	a(n)=3^n-3*n
A107956	a(n)=(n+1)(n+2)^2*(n+3)^2*(n+4)(5n^2+21n+20)/2880
A107959	a(n)=(n+1)(n+2)^2*(n+3)^2*(n+4)(n^2+5n+5)/720
A107967	a(n)=(n+1)(n+2)^3*(n+3)^2*(n+4)(n^2+4n+5)/1440
A107968	a(n)=(n+1)(n+2)^3*(n+3)^2*(n+4)(3n+5)/1440
A107969	a(n)=(n+1)(n+2)^2*(n+3)(2n+3)(5n^2+19n+20)/720
A108178	a(n)=(n+1)(n+2)^2*(n+3)^2*(n+4)(7n^2+23n+20)/2880
A108188	a(n)=(n-1)*(a(n-1)+a(n-2)+a(n-3))
A108217	a(n)=n!+(n-2)!
A108398	a(n)=n*(1+n^n)/2
A108496	a(n)=(n^43-n)/42
A108648	a(n)=(n+1)^2*(n+2)^3*(n+3)/24
A108650	a(n)=(n+1)^2*(n+2)*(n+3)*(3*n+4)/24
A108670	a(n)=(n+1)(n+2)^3*(n+3)(n+4)(5n^2+16n+15)/1440
A108671	a(n)=(n+1)(n+2)^3*(n+3)(13n^2+37n+30)/720
A109345	a(n)=5^((n^2-n)/2)
A109354	a(n)=6^((n^2-n)/2)
A109384	a(n)=2^(2^(n+2)+1)
A109493	a(n)=7^((n^2-n)/2)
A109539	a(n)=a(n-2)+a(n-3)+a(n-4)+a(n-5)+a(n-6)+a(n-7)+a(n-8)
A109540	a(n)=a(n-2)+a(n-3)+a(n-4)+a(n-5)+a(n-6)+2*a(n-7)+a(n-8)
A109966	a(n)=8^((n^2-n)/2)
A110195	a(n)=11^((n^2-n)/2)
A110468	a(n)=(2*n+1)!/(n+1)
A110567	a(n)=n^(n+1)+1
A111454	a(n)=(n-4)^(n-3)-(n-3)^(n-4)+1
A111682	a(n)=(2n)^(2n)-(2n-1)!*(3n)!/((n-1)!(2n)!)
A111911	a(n)=(4n+1)!/((2n+1)!*((n+1)!)^2)
A113424	a(n)=(6n)!/((3n)!(2n)!n!)
A113785	a(n)=a(n-1)^2+2*a(n-2)
A114311	a(n)=n!-n(n-1)/2
A114364	a(n)=n*(n+1)^2
A114958	a(n)=6*2^(n+1)-5*(n+1)-4
A117197	a(n)=(n^3-1)^3
A117812	a(n)=n^(2*n)-1
A118498	a(n)=11*n^20+11*n^2+152821
A119571	a(n)=2^(2^n-1)+2^(2^(n+1)-1)+1
A119837	a(n)=(2n)!/n!-(2n)!/(n-1)!
A120354	a(n)=11*3^n
A120409	a(n)=n^1*(n+1)^2*(n+2)^3*(n+3)^4*(n+4)^5*(n+5)^6/(1!*2!*3!*4!*5!*6!)
A120773	a(n)=2^(n^2)-3^n
A120800	a(n)=3^(n^2)+2^(n^2)
A121354	a(n)=(3*n-1)*a(n-1)-a(n-2)
A121520	a(n)=(10^n+1)^n
A121702	a(n)=2^(n^3-1)
