A001539	3,26,3	1,-3,3,-1
A001541	1,-3	1,-6,1
A001542	0,2	1,-6,1
A001546	-105,-18780,-60534,-18780,-105	-1,5,-10,10,-5,1
A001550	3,-12,11	1,-6,11,-6
A001570	0,1,-1	1,-14,1
A001582	1,0,-1	1,-2,-7,-2,1
A001584	1,1,1,-1,-1,-1	1,0,0,-2,0,0,1,0,-1
A001585	-1,3,-7,15,2	-1,7,-18,22,-13,3
A001588	1,1,-3	1,-2,0,1
A001589	1,-4,17,-43,-38,-5	1,-9,30,-50,45,-21,4
A001590	0,1,-1	1,-1,-1,-1
A001591	0,0,0,0,1	1,-1,-1,-1,-1,-1
A001593	-1,5,-36,84,289,135,4	-1,11,-45,95,-115,81,-31,5
A001594	1,-6,72,-75,-1475,-1776,-334,-7	1,-13,63,-161,245,-231,133,-43,6
A001603	-1,0,-13,0,-1	-1,11,-33,33,-11,1
A001604	-11,90,-173,90,-11	-1,11,-33,33,-11,1
A001607	0,1	1,1,2
A001608	3,0,-1	1,0,-1,-1
A001609	0,1,0,3	1,-1,0,-1
A001611	1,0,-2	1,-2,0,1
A001612	3,-4	1,-2,0,1
A001621	0,-2,-2,-2	-1,5,-10,10,-5,1
A001628	1	1,-3,0,5,0,-3,-1
A001629	0,0,1	1,-2,-1,2,1
A001630	0,0,-1,-1	-1,1,1,1,1
A001631	0,0,-1,1	-1,1,1,1,1
A001634	0,2,3,4	1,0,-1,-1,-1
A001635	0,0,2,1,1,1,-5	1,-1,-1,0,0,0,1
A001636	0,0,2,1,1,1,1,-6	1,-1,-1,0,0,0,0,1
A001638	4,-3,0,-1	1,-1,0,-1,-1
A001639	0,1,0,3,4,5	1,-1,0,-1,-1,-1
A001640	0,1,0,3,4,5,6	1,-1,0,-1,-1,-1,-1
A001641	0,1,2,0,4	1,-1,-1,0,-1
A001642	0,1,2,0,4,5	1,-1,-1,0,-1,-1
A001643	0,1,2,0,4,5,6	1,-1,-1,0,-1,-1,-1
A001644	3,-2,-1	1,-1,-1,-1
A001645	0,1,2,3,0,5	1,-1,-1,-1,0,-1
A001648	0,1,2,3,4	1,-1,-1,-1,-1
A001649	0,1,2,3,4,0,6	1,-1,-1,-1,-1,0,-1
A001651	0,1,1,1	1,-1,-1,1
A001652	0,3,-1	1,-7,7,-1
A001653	0,1,-1	1,-6,1
A001687	0,1	1,0,-1,0,0,-1
A001702	0,1,-24,14,-6,1	-1,7,-21,35,-35,21,-7,1
A001752	1	1,-4,5,0,-5,4,-1
A001787	0,1	1,-4,4
A001788	0,1	1,-6,12,-8
A001793	0,1,-1	1,-6,12,-8
A001794	1,-1	1,-8,24,-32,16
A001815	0,0,2	1,-6,12,-8
A001834	1,1	1,-4,1
A001835	1,-3	1,-4,1
A001839	0,0,0,-1,0,0,-2,-2,1	-1,1,1,-1,0,0,1,-1,-1,1
A001840	0,1	1,-2,1,-1,2,-1
A001844	1,2,1	1,-3,3,-1
A001845	1,3,3,1	1,-4,6,-4,1
A001846	1,4,6,4,1	1,-5,10,-10,5,-1
A001847	1,5,10,10,5,1	1,-6,15,-20,15,-6,1
A001848	1,6,15,20,15,6,1	1,-7,21,-35,35,-21,7,-1
A001849	1,7,21,35,35,21,7,1	1,-8,28,-56,70,-56,28,-8,1
A001859	0,2,1	1,-2,0,2,-1
A001860	0,3,3,2	1,-3,3,-2,3,-3,1
A001871	1	1,-6,11,-6,1
A001872	1	1,-4,2,8,-5,-8,2,4,1
A001873	1	1,-5,5,10,-15,-11,15,10,-5,-5,-1
A001891	0,1,1	1,-3,2,1,-1
A001906	0,1	1,-3,1
A001911	0,1,1	1,-2,0,1
A001919	0,0,0,6,-8,3	1,-8,28,-56,70,-56,28,-8,1
A001922	1,-7	1,-15,15,-1
A001924	0,1	1,-3,2,1,-1
A001926	1,2,1	1,-7,18,-17,-7,24,-9,-9,6,1,-1
A001947	3,-4	1,-11,-1
A001949	0,0,0,0,0,1	1,-2,0,0,0,0,1
A001975	-1,1,-2,-1,-2,-3,-1,-5,-1,-3,-2,-1,-2,1,-1	-1,2,-1,0,1,-2,2,-2,2,-2,0,2,-2,2,-2,2,-1,0,1,-2,1
A001976	0,-1,-1,-1,-2,-2,-4,-1,-4,-2,-2,-1,-1,-1	-1,2,-1,0,1,-2,2,-2,2,-2,0,2,-2,2,-2,2,-1,0,1,-2,1
A001978	0,1,2,2,1,2,2,1	1,-1,-3,2,4,-1,-3,1,1,-3,-1,4,2,-3,-1,1
A001979	-1,1,-3,-3,-7,-12,-16,-28,-33,-46,-56,-73,-83,-90,-106,-109,-121,-110,-121,-109,-106,-90,-83,-73,-56,-46,-33,-28,-16,-12,-7,-3,-3,1,-1	-1,2,-1,0,1,-2,2,-2,2,-2,1,0,0,0,-2,4,-4,4,-3,2,-1,0,1,-2,3,-4,4,-4,2,0,0,0,-1,2,-2,2,-2,2,-1,0,1,-2,1
